itemCode,product,qty,barcode
GCCL02,GENOSYS SNOW O2 CLEANSER -500ml,40,8809205630263
GCCL05,GENOSYS CERABARRIER BIOME GEL CLEANSER -200ml,98,8809849809834
GCCL06,GENOSYS CERABARRIER BIOME GEL CLEANSER -600ml,30,8809849809841
GCTN01,GENOSYS SNOW BOOSTER TONER -200ml,80,8809205628642
GCTN02,GENOSYS SNOW BOOSTER TONER -1000ml,20,8809205630256
GCTN03,GENOSYS INTENSIVE PROBLEM CONTROL TONER -200ml,30,8809579274438
GCMA05,GENOSYS HYDRO COOL MODELING MASK,10,8809392232011
GCMA09,GENOSYS SOOTHING BOMB SEA ALAGE MASK(BULK),3,8809579273974
GCMA06,GENOSYS INTENSIVE REPAIR COLLAGEN MASK,300,8809392232042
GCPS05,GENOSYS CTS POWER SOLUTION,6,8809046298677
GCMA01,GENOSYS CO2 FACE MASK KIT,50,8809205627355
GCMA11,GENOSYS SKIN RESCUE OVERNIGHT CREAM MASK -100g,20,8809639177464
GCAP02,GENOSYS BIO-MESO PDRN EXPERT AMPOULE 60000,110,8809849808189
GCAP01,GENOSYS BIO-MESO PDRN HOMECARE AMPOULE 5000,80,8809849808110
GCCR07,GENOSYS SOOTHING REPAIR POSTCREAM -20g *12pcs,10,8809046298684
GCCR43,GENOSYS SOOTHING REPAIR POSTCREAM -100g,40,8809367898143
GCFO02,GENOSYS Cushion + Refill / Color: #02 BEIGE,100,8809639176368
GCEC00,GENOSYS EYECELL Kit,10,8809046298035
